"","Datum","Factuurnr.","Taak","Eind","Resource"
"458",2018-03-14,"I1800270","Beoordelen inkoopfactuur",2018-03-22 12:21:51,"ae16f6dd57a3df272fd619111c714ba5"
"459",2018-03-14,"I1800270","Accorderen inkoopfactuur",2018-03-27 08:16:08,"3f309e071cff9027995b0b80691d6369"
"460",2018-02-23,"I1800212","Beoordelen inkoopfactuur",2018-03-09 13:55:09,"ae16f6dd57a3df272fd619111c714ba5"
"461",2018-03-02,"I1800213","Beoordelen inkoopfactuur",2018-03-09 13:55:33,"ae16f6dd57a3df272fd619111c714ba5"
"462",2018-02-23,"I1800212","Accorderen inkoopfactuur",2018-03-13 11:10:00,"3f309e071cff9027995b0b80691d6369"
"463",2018-03-02,"I1800213","Accorderen inkoopfactuur",2018-03-13 11:10:11,"3f309e071cff9027995b0b80691d6369"
"464",2018-03-14,"I1800270","Inkoopfactuur <= 5.000",2018-03-20 09:32:32,"abdc6e9dade886e0d35ceab9951ebeda"
"465",2018-01-09,"I1800282","Inkoopfactuur <= 5.000",2018-03-22 10:27:33,"abdc6e9dade886e0d35ceab9951ebeda"
"466",2018-01-09,"I1800282","Beoordelen inkoopfactuur",2018-03-26 11:28:40,"abdc6e9dade886e0d35ceab9951ebeda"
"467",2018-01-09,"I1800282","Accorderen inkoopfactuur",2018-03-27 08:18:27,"3f309e071cff9027995b0b80691d6369"
"468",2018-01-09,"I1800282","Verwerk de reacties!",2018-03-29 16:12:36,"abdc6e9dade886e0d35ceab9951ebeda"
"469",2018-03-31,"I1800339","Inkoopfactuur <= 5.000",2018-04-09 14:42:40,"abdc6e9dade886e0d35ceab9951ebeda"
"470",2018-03-31,"I1800339","Beoordelen inkoopfactuur",2018-04-09 19:33:00,"524fdb068748af57469e4dc7edf8e89d"
"471",2018-03-31,"I1800339","Accorderen inkoopfactuur",2018-04-09 19:33:06,"524fdb068748af57469e4dc7edf8e89d"
"472",2018-03-16,"I1800264","Beoordelen inkoopfactuur",2018-04-09 19:31:24,"524fdb068748af57469e4dc7edf8e89d"
"473",2018-03-16,"I1800264","Accorderen inkoopfactuur",2018-04-09 19:31:30,"524fdb068748af57469e4dc7edf8e89d"
